type,category,subcategory,priority,message
disaster,fire,wildfire,1,Help help. wildfire out of control. send aid 2 loc.
disaster,evacuation,voluntary,5,Emergency. considering evacuation. We are waiting in a safe place for responders.
disaster,evacuation,voluntary,5,theres emergency. prepairing to evac. hurry pls.
disaster,trapped,under_debris,1,SOS pls rspnd. stuck under the debris. pls send help asap.
disaster,supply_request,clothing,4,need assistance rn. clothing destroyed. need immediate response.
disaster,flooding,street_flooding,3,911 situation here. cant get out flooded roads. water on all the roads. need svc rn.
disaster,fire,vehicle_fire,3,emergency help. car eng fire rn. Send someone quickly.
disaster,fire,wildfire,1,urgent msg. forest fire coming towards us. fire jumping trees. need help rn.
disaster,trapped,under_debris,1,need help now. trapped under stuff help. Send someone quickly.
disaster,medical,injury,1,help. serious injury occurred. fell and got injured. pls send help asap.
disaster,structure_damage,severe,1,emergency help. bulding completly colapsed. total structural failure. need immediate response.
disaster,missing_person,elderly,1,Anyone there. old person missing. Waiting for assistance.
disaster,evacuation,mandatory,1,anybody there. forced evacuate. Over and out.
disaster,missing_person,elderly,1,plz help us asap. senor wanderd off. elderley person mising. need immediate response.
disaster,evacuation,voluntary,5,need emerg svc. preparing to evacuate help. need emergncy crew now.
disaster,infrastructure_damage,road,5,urgent. The main access road has collapsed and cannot be used. highway damaged. pls respond.
disaster,medical,injury,1,emergncy need help. got hurt fr. hurt in sports thing. need emergncy crew now.
disaster,infrastructure_damage,bridge,3,We require emergency assistance. bridge destroyed. send help quick.
disaster,flooding,street_flooding,3,Requesting immediate help. road impassable water. Flooding has blocked the only road out. send help imediately.
disaster,medical,injury,1,need assistance rn. injured in a fall. workplace injury. need svc rn.
disaster,medical,injury,1,anybody there. bad bck injry cant stand. hurry pls.
disaster,evacuation,mandatory,1,911 situation here. ordered leave area. must evac imediately. waiting for help.
disaster,medical,heavy_bleeding,1,mayday. bleeding real bad. arterial bleed. req rescue asap.
disaster,missing_person,adult,2,Please help. An adult family member has not returned since the evacuation. someone hasn't returned. pls dispatch FD.
disaster,supply_request,water,2,Help help. no drinking water. Send emergency services.
disaster,utility,water_outage,2,help us. pipes dry no water. need immediate response.
disaster,evacuation,mandatory,1,emergency help. told evacuate now. Need help now.
disaster,utility,gas_leak,1,Mayday mayday. gass leak in bulding. smell gas everywhere. Requesting immediate response.
disaster,trapped,in_building,1,help needed asap. stuck in building. trapped inside building. send aid 2 loc.
disaster,structure_damage,light,4,emergency help. light structural damage. Send emergency services.
disaster,medical,light_bleeding,3,We require emergency assistance. small wound bleeding. Emergency crews are needed at this location.
disaster,structure_damage,severe,1,Can someone assist us. total failure. structure completely destroyed. Send someone quickly.
disaster,fire,wildfire,1,sum1 help. wildfire approaching our area. forest fire heading towards us. rspnd 2 this msg.
disaster,missing_person,elderly,1,help needed asap. cant find elderly fam mbr. Waiting for assistance.
disaster,utility,gas_leak,1,Emergency. gas line broke. gas odor strong. Please send help immediately.
disaster,supply_request,water,2,emergncy need help. no drinking water. waiting for help.
disaster,fire,wildfire,1,plz help us asap. massive wildfire spreading fast. plz send responders quick.
disaster,utility,gas_leak,1,Anyone there. gas line broke. Please respond.
disaster,flooding,flash_flood,1,We need help. flash flood coming. req rescue asap.
disaster,flooding,flash_flood,1,We require emergency assistance. flood coming quick. water coming in fast. Requesting immediate response.
disaster,flooding,house_flooding,2,mayday. hse filling w wtr. Waiting for assistance.
disaster,flooding,house_flooding,2,urgent. hse filling w wtr. home flooding. Emergency crews are needed at this location.
disaster,medical,illness,2,urgent msg. difficulty breathing. need immediate response.
disaster,trapped,under_debris,1,emergency help. under dbri need rescue. Emergency crews are needed at this location.
disaster,flooding,house_flooding,2,urgent. basement flooded. pls send help asap.
disaster,supply_request,food,3,sum1 help. runing out of fud. rspnd 2 this msg.
disaster,evacuation,voluntary,5,emergency help. should we evacuate. need help rn.
disaster,missing_person,adult,2,need assistance rn. person missing. send help imediately.
disaster,medical,light_bleeding,3,Need urgent assistance. bleeding controlled but needs attention. send someone quick.
disaster,utility,power_outage,4,911 situation here. complete blackout. power out. need help rn.
