type,category,subcategory,priority,message
medical,medical,heavy_bleeding,1,Someone is hurt!. person bleeding heavily. Patient is middle-aged person. stopped breathing. time sensitive. Waiting for medical assistance.
disaster,flooding,flash_flood,1,hlp pls. flash flood coming. sudden flood waters rising. send help quick.
disaster,flooding,flash_flood,1,hlp pls. sudden flood waters rising. Waiting for assistance.
disaster,infrastructure_damage,road,5,emergency situation. road collapse. send someone quick.
disaster,supply_request,clothing,4,help!!. need cloths. need clothes. Requesting immediate response.
medical,medical,injury,1,urgent hlp needed. work accident hurt. breathing normally. hurry pls.
medical,medical,unconscious,2,Medical emergency!. hit head and unconscious. semi-conscious. its bad. Please send ambulance immediately.
medical,medical,heavy_bleeding,1,need ambulance rn. deep cut bleeding heavily. shallow breathing. getting worse fast. pls respond quick.
medical,medical,illness,2,urgent hlp needed. suddenly became ill. urgent. Send help right away.
disaster,fire,wildfire,1,Need urgent assistance!. fire out of control. forest fire heading towards us. need immediate response.
disaster,missing_person,adult,2,emergency situation. someone hasnt come back. Need help now.
medical,medical,heavy_bleeding,1,help!!. blood everywhere. Patient is infant. semi-conscious. Send help right away.
disaster,flooding,flash_flood,1,help needed asap. flash flood warning area. flash flood area. Requesting immediate response.
disaster,trapped,in_vehicle,2,pls help. trapped in the vehicle. can't get out of vehicle. pls respond.
disaster,fire,wildfire,1,hlp pls. flames spreading fast on hill. send emergency services.
disaster,infrastructure_damage,bridge,3,Requesting immediate help. bridge damaged unstable. bridge unsafe. Over and out.
medical,medical,light_bleeding,3,Need paramedics now. small wound bleeding. Patient is adult male. labored breathing. critical condition. need ems.
medical,medical,injury,1,Urgent medical situation here. twisted ankle badly. Patient is elderly man. gasping for air. needs immediate attention. send amb now.
medical,medical,light_bleeding,3,help plz. bleeding controlled but needs attention. unresponsive. waiting 4 help.
medical,medical,heavy_bleeding,1,guy need help bad. hes bleeding out. Patient is adult female. unresponsive. shallow breathing. need help asap.
medical,medical,injury,1,need ambulance rn. sports injury. Patient is senior citizen. labored breathing. send someone fast pls.
disaster,trapped,in_building,1,This is an emergency. trapped in building. can't get out of the house. Requesting immediate response.
disaster,fire,vehicle_fire,3,need assistance rn. truck burning. truck caught fire bad. send someone quick.
disaster,fire,structural_fire,2,Please help!. building on fire. over n out.
disaster,fire,wildfire,1,emergency situation. fire jumping trees. forest fire coming towards us. Requesting immediate response.
medical,medical,heavy_bleeding,1,We need help. arterial bleed. Patient is infant. stopped breathing. immediate action needed. immediate response needed.
medical,medical,injury,1,SOS. suffered an injury. unresponsive. need ambulance quick.
medical,medical,heavy_bleeding,1,medical emerg. lost alot of blood. unresponsive. need help now. Please send ambulance immediately.
medical,medical,heavy_bleeding,1,need ambulance rn. person bleeding alot. Patient is adult male. semi-conscious. stopped breathing. Time is critical.
medical,medical,injury,1,omg need help. somebody got hurt. Patient is adult female. breathing normally. immediate action needed. need ambulance quick.
disaster,fire,structural_fire,2,urgent. house burning down. over n out.
medical,medical,unconscious,2,Help help. fainted. Patient is middle-aged person. unresponsive. gasping for air. send someone fast pls.
disaster,missing_person,elderly,1,Urgent situation here. elderly person lost. help needed now.
medical,medical,illness,2,Emergency!. stomach hurts real bad. responsive. shallow breathing. need ambulance quick.
disaster,supply_request,clothing,4,Need urgent assistance!. clothing destroyed. Waiting for assistance.
medical,medical,illness,2,urgent hlp needed. bad reaction to medication. Patient is elderly man. unresponsive. breathing normally. hurry pls.
disaster,fire,vehicle_fire,3,need assistance rn. car in flames on road. vehicle burning. respond asap.
medical,medical,injury,1,theres emergency here. fell and got injured. confused. not breathing. life threatening. Please respond quickly.
medical,medical,unconscious,2,help plz. person is unconscious. Patient is senior citizen. breathing normally. severe. hurry pls.
medical,medical,illness,2,Urgent medical situation here. someone is very sick. Patient is elderly man. urgent. send amb now.
medical,medical,illness,2,emergency pls send help. got sick suddenly idk why. responsive. severe. send someone plz.
medical,medical,illness,2,Medical emergency!. bad reaction to medication. Patient is teenager. pls respond quick.
disaster,missing_person,child,1,We need help. minor missing. send help quick.
disaster,trapped,under_debris,1,Need urgent assistance!. trapped under rubble. trapped under debris. Need help now.
disaster,supply_request,other,,need help now. need basic stuff. need help rn.
medical,medical,injury,1,emergency pls send help. accident victim here. Patient is elderly man. unconscious. rapid breathing. Requesting immediate medical response.
medical,medical,heavy_bleeding,1,medical situation bad. blood everywhere. Patient is elderly man. rapid breathing. critical. Requesting immediate medical response.
disaster,fire,structural_fire,2,need assistance rn. fire in the building. Need help now.
medical,medical,unconscious,2,We need help. lost conciousness. immediate action needed. pls hurry.
